,Ethnicity,Gender,Age,Relationship Status,Industry,Education,Cost of Living,Annual Expenses,Annual Income
401,White,Female,26-30,relationship,Professional & Business Services,Bachelor's Degree,81-90,206000,221000
402,White,Male,31-35,relationship,Engineering (NOT software),Bachelor's Degree,81-90,228600,235000
407,White,Male,31-35,relationship,Engineering (NOT software),Bachelor's Degree,81-90,65000,171300
409,White,Male,31-35,relationship,Information Technology (incl. software engineering),Bachelor's Degree,91-100,370000,370000
414,White,Male,26-30,single,Engineering (NOT software),Master's Degree,71-80,8330,108800
415,White,Male,36-40,relationship,Energy,Bachelor's Degree,51-60,180000,244000
416,Asian,Female,21-25,relationship,Engineering (NOT software),Master's Degree,81-90,89100,89100
417,White,Male,26-30,relationship,Financial Services,Bachelor's Degree,131-140,10900,12000
418,White,Male,41-45,relationship,Information Technology (incl. software engineering),Master's Degree,81-90,815000,815000
419,White,Male,31-35,single,Financial Services,Bachelor's Degree,71-80,138000,138000
421,White,Male,41-45,relationship,Information Technology (incl. software engineering),Master's Degree,71-80,882000,889000
423,Hispanic or Latino,Male,46-50,relationship,Information Technology (incl. software engineering),Bachelor's Degree,21-30,14000,55000
424,"White,Asian",Male,36-40,relationship,Healthcare,Doctorate Degree,61-70,750000,750000
425,White,Male,41-45,relationship,Engineering (NOT software),Master's Degree,81-90,235600,341000
427,White,Female,31-35,relationship,Healthcare,Master's Degree,71-80,160783,182211
428,White,Male,51-55,relationship,Military,Master's Degree,71-80,172000,172000
430,White,Male,36-40,single,Information Technology (incl. software engineering),Master's Degree,81-90,120000,295000
431,White,Female,31-35,relationship,Trade,Master's Degree,91-100,83028,212000
432,White,Female,31-35,relationship,Information Technology (incl. software engineering),Master's Degree,81-90,417800,433000
433,"White,Asian,Southeast Asian",Female,31-35,single,Healthcare,Bachelor's Degree,71-80,99150,150911
434,White,Male,41-45,relationship,Professional & Business Services,Bachelor's Degree,81-90,125200,417000
436,"Black or African American,Hispanic or Latino",Male,36-40,relationship,Information Technology (incl. software engineering),Bachelor's Degree,71-80,96000,265000
438,White,Male,41-45,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,185400,302000
439,"White,Southeast Asian",Male,31-35,relationship,Natural Resources,Bachelor's Degree,71-80,70000,256000
440,Southeast Asian,Male,36-40,relationship,Healthcare,Bachelor's Degree,91-100,100000,280000
442,White,Male,26-30,relationship,Engineering (NOT software),Bachelor's Degree,61-70,40000,132000
446,White,Male,31-35,relationship,Engineering (NOT software),Bachelor's Degree,71-80,249229,249413
450,Southeast Asian,Male,46-50,relationship,Information Technology (incl. software engineering),Bachelor's Degree,61-70,70000,150000
451,Decline to state,Male,26-30,single,Information Technology (incl. software engineering),Less than high school,91-100,270000,270000
452,Asian,Male,31-35,relationship,Engineering (NOT software),Bachelor's Degree,61-70,65000,334000
453,White,Male,31-35,relationship,Financial Services,Specialist Degree,71-80,150000,460000
455,White,Male,41-45,relationship,Information Technology (incl. software engineering),Bachelor's Degree,61-70,144000,750000
457,Asian,Female,26-30,single,Education,Bachelor's Degree,81-90,76517,131654
458,Hispanic or Latino,Male,31-35,relationship,Engineering (NOT software),Bachelor's Degree,81-90,115686,243800
463,Asian,Male,26-30,relationship,Information Technology (incl. software engineering),Bachelor's Degree,61-70,42860,98000
465,Black or African American,Male,21-25,single,Military,Bachelor's Degree,61-70,91358,91725
467,White,Male,31-35,relationship,Energy,Bachelor's Degree,71-80,252350,252350
468,White,Male,26-30,single,Information Technology (incl. software engineering),Bachelor's Degree,91-100,153000,153000
470,White,Male,41-45,relationship,Healthcare,Doctorate Degree,71-80,630000,630000
471,White,Male,36-40,relationship,Public Administration (Civilian Government),Master's Degree,81-90,140684,156400
473,"Asian,Southeast Asian",Male,26-30,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,290000,299200
475,White,Male,31-35,relationship,Engineering (NOT software),Master's Degree,61-70,209122,172000
477,White,Male,36-40,relationship,Professional & Business Services,Master's Degree,71-80,225100,225100
479,White,Male,26-30,relationship,Financial Services,Bachelor's Degree,51-60,65000,190000
480,"White,Asian,Southeast Asian",Female,26-30,relationship,Professional & Business Services,Bachelor's Degree,81-90,106665,107474
481,White,Male,26-30,single,Information Technology (incl. software engineering),Bachelor's Degree,61-70,50000,136000
482,White,Male,31-35,relationship,Media,Bachelor's Degree,61-70,149905,150550
483,White,Male,36-40,relationship,Information Technology (incl. software engineering),Master's Degree,61-70,53300,260000
